State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
Karnataka,Bengaluru Rural,Kharif,Irrigated,CO 6; CO 6; HQPM-7; PR 132
Karnataka,Bengaluru Rural,Kharif,Rainfed,Deccan Hybrid; Bisco 855; Vijay; P3506W
Karnataka,Bengaluru Rural,Kharif,Limited Irrigation,CO 6; DMRH-1301
Karnataka,Bengaluru Rural,Rabi,Irrigated,MM 9344; Kaushal 3339; CO 6; VL Popcorn
Karnataka,Bengaluru Rural,Rabi,Rainfed,CO 6; P2848W; Diyara Composite; DMRH-1301
Karnataka,Bengaluru Rural,Rabi,Limited Irrigation,NAH-2049; DMRH-1308; Malwa King
Karnataka,Bengaluru Rural,Summer,Irrigated,NAH-2049; Hi-Starch; DMRH-1308
Karnataka,Bengaluru Rural,Summer,Rainfed,Deccan Hybrid; Hi-Starch; Diyara Composite; Shaktiman-2
Karnataka,Bengaluru Rural,Summer,Limited Irrigation,CO 6; Hi-Starch; Malwa King; NMH-731
Karnataka,Bengaluru Rural,Early Kharif,Irrigated,MM 9344; Early Composite
Karnataka,Bengaluru Rural,Early Kharif,Rainfed,CO 6; Early Composite; Diyara Composite
Karnataka,Bengaluru Rural,Early Kharif,Limited Irrigation,Deccan Hybrid; DHM 115
Karnataka,Bengaluru Rural,Main Kharif,Irrigated,MM 9344; Bisco X 5129; P2848W; Mitra
Karnataka,Bengaluru Rural,Main Kharif,Rainfed,NAH-2049; Sugar 75; Vijay; Amber Popcorn
Karnataka,Bengaluru Rural,Main Kharif,Limited Irrigation,NAH-2049; KMH-3426
Karnataka,Bengaluru Rural,Late Kharif,Irrigated,NAH-2049; NMH-731; CO 6
Karnataka,Bengaluru Rural,Late Kharif,Rainfed,NAH-2049; NMH-731; Amber
Karnataka,Bengaluru Rural,Late Kharif,Limited Irrigation,MM 9344; Late varieties; Him 123; Kissan Composite
Karnataka,Bengaluru Rural,Early Rabi,Irrigated,MM 9344; P2809W; DMRH-1308
Karnataka,Bengaluru Rural,Early Rabi,Rainfed,CO 6; Aadarsh 3636
Karnataka,Bengaluru Rural,Early Rabi,Limited Irrigation,MM 9344; Aadarsh 3636; Him 123
Karnataka,Bengaluru Rural,Main Rabi,Irrigated,Deccan Hybrid; PHB 30B50; P2848W; DMRH-1308
Karnataka,Bengaluru Rural,Main Rabi,Rainfed,CO 6; Pusa HM-9 Improved; Aadarsh 3636; Dekalb 9208
Karnataka,Bengaluru Rural,Main Rabi,Limited Irrigation,NAH-2049; Sartaj
Karnataka,Bengaluru Rural,Late Rabi,Irrigated,NAH-2049; Raakhi 1899; HQPM-7; Chandramani
Karnataka,Bengaluru Rural,Late Rabi,Rainfed,CO 6; Raakhi 1899
Karnataka,Bengaluru Rural,Late Rabi,Limited Irrigation,Deccan Hybrid; Kaushal 3339; Prakash; Kaushal 3339
Karnataka,Belagavi,Kharif,Irrigated,Deccan Hybrid; DMRH-1301; CO 6
Karnataka,Belagavi,Kharif,Rainfed,CO 6; CO 6
Karnataka,Belagavi,Kharif,Limited Irrigation,MM 9344; CO 6; DMRH-1305; Bisco 555
Karnataka,Belagavi,Rabi,Irrigated,NAH-2049; P2848W; CO 6; Him 129
Karnataka,Belagavi,Rabi,Rainfed,Deccan Hybrid; CT 7722
Karnataka,Belagavi,Rabi,Limited Irrigation,CO 6; Kaushal 3339
Karnataka,Belagavi,Summer,Irrigated,Deccan Hybrid; P2848W
Karnataka,Belagavi,Summer,Rainfed,NAH-2049; P2809W
Karnataka,Belagavi,Summer,Limited Irrigation,CO 6; P2848W; Him 123; Kaushal 3339
Karnataka,Belagavi,Early Kharif,Irrigated,MM 9344; DHM 115
Karnataka,Belagavi,Early Kharif,Rainfed,MM 9344; Early Composite
Karnataka,Belagavi,Early Kharif,Limited Irrigation,Deccan Hybrid; Prakash; Malwa King
Karnataka,Belagavi,Main Kharif,Irrigated,Deccan Hybrid; HQPM-4; HQPM-7
Karnataka,Belagavi,Main Kharif,Rainfed,MM 9344; P2848W
Karnataka,Belagavi,Main Kharif,Limited Irrigation,NAH-2049; Pratap Hybrid Maize-1
Karnataka,Belagavi,Late Kharif,Irrigated,MM 9344; Late varieties; DMRH-1308
Karnataka,Belagavi,Late Kharif,Rainfed,Deccan Hybrid; NMH-731
Karnataka,Belagavi,Late Kharif,Limited Irrigation,MM 9344; PMH-3
Karnataka,Belagavi,Early Rabi,Irrigated,Deccan Hybrid; P2809W
Karnataka,Belagavi,Early Rabi,Rainfed,MM 9344; CT 1188; Aadarsh 3636
Karnataka,Belagavi,Early Rabi,Limited Irrigation,MM 9344; P2809W; DMRH-1305; Madhuri
Karnataka,Belagavi,Main Rabi,Irrigated,Deccan Hybrid; HM-12; P2848W
Karnataka,Belagavi,Main Rabi,Rainfed,MM 9344; KH 5991
Karnataka,Belagavi,Main Rabi,Limited Irrigation,Deccan Hybrid; P2809W; DMRH-1305; HM-12
Karnataka,Belagavi,Late Rabi,Irrigated,CO 6; CT 7722
Karnataka,Belagavi,Late Rabi,Rainfed,Deccan Hybrid; Raakhi 1899
Karnataka,Belagavi,Late Rabi,Limited Irrigation,NAH-2049; CT 7722
Karnataka,Bagalkote,Kharif,Irrigated,NAH-2049; CO 6
Karnataka,Bagalkote,Kharif,Rainfed,NAH-2049; Bisco 855; Diyara Composite
Karnataka,Bagalkote,Kharif,Limited Irrigation,Deccan Hybrid; DMRH-1301
Karnataka,Bagalkote,Rabi,Irrigated,NAH-2049; DMRH-1308; HQPM-7; Pratap Makka-9
Karnataka,Bagalkote,Rabi,Rainfed,NAH-2049; DMRH-1308; Diyara Composite
Karnataka,Bagalkote,Rabi,Limited Irrigation,Deccan Hybrid; DMRH-1308; DMRH-1305; Bisco 555
Karnataka,Bagalkote,Summer,Irrigated,NAH-2049; P2848W; P2848W
Karnataka,Bagalkote,Summer,Rainfed,Deccan Hybrid; Sugar 75; Diyara Composite; NMH-803
Karnataka,Bagalkote,Summer,Limited Irrigation,CO 6; Hi-Starch
Karnataka,Bagalkote,Early Kharif,Irrigated,MM 9344; Prakash
Karnataka,Bagalkote,Early Kharif,Rainfed,CO 6; Prakash
Karnataka,Bagalkote,Early Kharif,Limited Irrigation,MM 9344; DHM 115; Malwa King
Karnataka,Bagalkote,Main Kharif,Irrigated,Deccan Hybrid; Rattan; P2848W
Karnataka,Bagalkote,Main Kharif,Rainfed,Deccan Hybrid; Bisco X 5129
Karnataka,Bagalkote,Main Kharif,Limited Irrigation,MM 9344; Sugar 75; DMRH-1305
Karnataka,Bagalkote,Late Kharif,Irrigated,CO 6; PMH-3
Karnataka,Bagalkote,Late Kharif,Rainfed,NAH-2049; PMH-3
Karnataka,Bagalkote,Late Kharif,Limited Irrigation,NAH-2049; NMH-731; Malwa King; Bisco X 5129
Karnataka,Bagalkote,Early Rabi,Irrigated,MM 9344; P2809W; HQPM-7
Karnataka,Bagalkote,Early Rabi,Rainfed,CO 6; P2809W; Vijay
Karnataka,Bagalkote,Early Rabi,Limited Irrigation,Deccan Hybrid; CT 1188; Prakash; PR 132
Karnataka,Bagalkote,Main Rabi,Irrigated,NAH-2049; Pusa HM4 Improved; DMRH-1308; Rajendra Makka-1
Karnataka,Bagalkote,Main Rabi,Rainfed,CO 6; Bisco 555
Karnataka,Bagalkote,Main Rabi,Limited Irrigation,MM 9344; KMH-3426; Prakash; BPCH 6
Karnataka,Bagalkote,Late Rabi,Irrigated,Deccan Hybrid; CT 7722; HQPM-7; HM 4
Karnataka,Bagalkote,Late Rabi,Rainfed,Deccan Hybrid; Raakhi 1899; Amber
Karnataka,Bagalkote,Late Rabi,Limited Irrigation,NAH-2049; Raakhi 1899; Prakash
Karnataka,Haveri,Kharif,Irrigated,NAH-2049; Bisco 855; P2848W; Paras
Karnataka,Haveri,Kharif,Rainfed,CO 6; CO 6; Aadarsh 3636
Karnataka,Haveri,Kharif,Limited Irrigation,NAH-2049; Bisco 855; Malwa King; Pusa Extra Early Hybrid Makka-5
Karnataka,Haveri,Rabi,Irrigated,NAH-2049; P2848W; CO 6
Karnataka,Haveri,Rabi,Rainfed,MM 9344; Kaushal 3339; Vijay
Karnataka,Haveri,Rabi,Limited Irrigation,NAH-2049; DMRH-1308; DMRH-1305
Karnataka,Haveri,Summer,Irrigated,CO 6; P2809W; DMRH-1308; COH(M) 8
Karnataka,Haveri,Summer,Rainfed,Deccan Hybrid; Sugar 75
Karnataka,Haveri,Summer,Limited Irrigation,MM 9344; Sugar 75; Him 123
Karnataka,Haveri,Early Kharif,Irrigated,Deccan Hybrid; Prakash
Karnataka,Haveri,Early Kharif,Rainfed,MM 9344; Prakash; Amber
Karnataka,Haveri,Early Kharif,Limited Irrigation,MM 9344; Early Composite
