State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
West Bengal,Howrah,Early Kharif,Irrigated,PR 130; PR 131
West Bengal,South 24 Parganas,Early Kharif,Rainfed,Gayatri; Sahbhagi Dhan
Haryana,North-Western Plains - Regional,Kharif,Irrigated,IR 64; HKR 47; Vijetha; Rasi
Haryana,Panipat,Rabi,Limited Irrigation,CSR 30; Rasi; Improved Sabarmati; GR 11
Tamil Nadu,Sivaganga,Main Kharif,Rainfed,Hamilton; Khandagiri
Tamil Nadu,Tiruchirapalli,Summer,Limited Irrigation,SR 26B; IR 64; MTU-1061; MCM-100
Chhattisgarh,Durg,Summer,Irrigated,IR 64; Khitish
Bihar,Darbhanga,Main Rabi,Limited Irrigation,IR 64; Jaya; CSR 30
Tamil Nadu,Thanjavur,Main Kharif,Rainfed,CSR 27; Sahbhagi Dhan; Vandana
Assam,Cachar,Main Kharif,Irrigated,Mahsuri; MTU-1318; Swarna (MTU-7029)
Uttar Pradesh,Sultanpur,Early Rabi,Irrigated,Swarna; GR 11
Karnataka,Kodagu,Early Kharif,Rainfed,Indira; Sahbhagi Dhan
Odisha,Mayurbhanja,Early Rabi,Irrigated,CSR 36; Improved Sabarmati; MTU-1061
Karnataka,Bellary,Kharif,Rainfed,Konark; Virendra; Swarna-Sub1; Khandagiri
West Bengal,Dakshin Dinajpur,Main Rabi,Irrigated,GR 11; MTU-1061
Andhra Pradesh,Chittoor,Early Rabi,Irrigated,SR 26B; Lunishree; GR 11
Andhra Pradesh,Kadapa,Rabi,Irrigated,Lunishree; Jaya; Ratna; GR 11
Bihar,Patna,Main Kharif,Limited Irrigation,Sahbhagi Dhan; Ciherang-Sub1
Uttar Pradesh,Muzaffarnagar,Summer,Limited Irrigation,Ratna; Satabdi
Tamil Nadu,Tiruvarur,Late Kharif,Rainfed,Annada; Sahbhagi Dhan
Karnataka,Dakshina Kannada,Late Kharif,Limited Irrigation,Lalat; Annada
Assam,Darrang,Summer (Hot Weather),Irrigated,Ratna; Jaya; Satabdi
Odisha,Bolangir,Kharif,Irrigated,JGL 384; MTU-1121
West Bengal,Bankura,Early Kharif,Limited Irrigation,CSR 27; Tulaipanji; CR Dhan 40
Odisha,Kendrapara,Late Kharif,Limited Irrigation,Indira; SR 26B
Uttar Pradesh,Gorakhpur,Main Kharif,Rainfed,Pooja; Mahanandi
Bihar,Bhagalpur,Early Kharif,Limited Irrigation,Gayatri; CR Dhan 40
Odisha,Balasore,Main Kharif,Limited Irrigation,CSR 43; CR Dhan 40
Karnataka,Koppal,Early Kharif,Limited Irrigation,Gayatri; Naveen; Mahanandi
Haryana,Kaithal,Kharif,Irrigated,MTU-1318; Swarna (MTU-7029)
Tamil Nadu,Kanyakumari,Summer,Irrigated,Hamilton; Khitish; CSR 36
Andhra Pradesh,Visakhapatnam,Main Kharif,Rainfed,CR Dhan 40; CSR 43; Vandana
Uttar Pradesh,Chandauli,Summer,Limited Irrigation,Ratna; Improved Sabarmati; Boro varieties; Adamchini
Andhra Pradesh,West Godavari,Early Kharif,Rainfed,Birsa Vikas Dhan 110; CSR 43; Gayatri
West Bengal,Uttar Dinajpur,Rabi,Limited Irrigation,Khitish; Ciherang-Sub1
Odisha,Ganjam,Rabi,Irrigated,Ciherang-Sub1; Ratna
Bihar,Purba Champaran,Main Rabi,Irrigated,Ciherang-Sub1; Swarna
Uttar Pradesh,Varanasi,Kharif,Irrigated,PR 131; Pusa 44; PAU 201
Uttar Pradesh,Azamgarh,Kharif,Limited Irrigation,Annada; Swarna-Sub1; Pusa Basmati 1121; Adamchini
Uttar Pradesh,Sultanpur,Summer,Irrigated,Jaya; Pusa Basmati 1121; Ratna; Kala Namak
Uttar Pradesh,Sultanpur,Kharif,Rainfed,Kala Namak; Gayatri
Punjab,Ferozepur,Summer (Hot Weather),Irrigated,Jaya; Taraori Basmati; IR 64
Andhra Pradesh,Guntur,Rabi,Rainfed,Jaya; MTU-1010
West Bengal,Dakshin Dinajpur,Early Rabi,Limited Irrigation,Badshabhog; Pusa 1509; Kataribhog
Odisha,All,Kharif,Rainfed,Indira Barani 1; Birsa Vikas Dhan 109; Swarna-Sub1
Tamil Nadu,Kanyakumari,Early Kharif,Limited Irrigation,Pratiksha; CSR 27
Assam,Nagaon,Summer,Limited Irrigation,Ratna; Kola Joha
Karnataka,Koppal,Early Kharif,Irrigated,RNR 15048; JGL 384
